#Mean longitude;Mean latitude;Mean altitude;SNR;stddev longitude;stddev latitude;stddev altitude;stddev SNR; label
6.7113081;46.5923453;915.8091837;26;0.0000030;0.0000050;2.9590086;6;Fagus_sylvatica
6.7103652;46.5922640;911.3600000;29;0.0000033;0.0000029;0.4328972;6;Fagus_sylvatica
6.7105702;46.5912267;911.7878049;30;0.0000016;nan;0.4894971;3;Fagus_sylvatica
6.7103818;46.5920976;913.4914894;30;0.0000028;0.0000096;0.6973597;5;Fagus_sylvatica
6.7120065;46.5923574;914.7066667;33;0.0000030;nan;0.2908990;2;Fagus_sylvatica
6.7118242;46.5911345;916.5571429;29;0.0000026;nan;0.2920721;7;Fagus_sylvatica
6.7109787;46.5926339;911.2971014;29;nan;nan;0.1062824;2;Fagus_sylvatica
6.7103560;46.5921886;909.8107527;29;0.0000047;0.0000021;0.5611935;6;Fagus_sylvatica
6.7121639;46.5922606;912.5790698;29;0.0000033;0.0000003;0.2468953;6;Fagus_sylvatica
6.7128917;46.5923771;909.5595506;35;0.0000006;0.0000019;0.0490794;4;Fagus_sylvatica
6.7109884;46.5925600;913.1071429;27;0.0000001;nan;0.0257539;4;Fagus_sylvatica
6.7118894;46.5923482;913.9925000;32;0.0000041;0.0000063;0.5149697;6;Fagus_sylvatica
6.7115403;46.5905809;921.6962963;33;0.0000013;0.0000034;0.4140867;4;Fagus_sylvatica
6.7106887;46.5908460;918.2333333;29;0.0000008;nan;0.4027682;0;Fagus_sylvatica
6.7119495;46.5913101;914.8000000;36;0.0000004;0.0000019;nan;6;Fagus_sylvatica
6.7119473;46.5923393;915.7106383;34;0.0000083;0.0000028;0.5585826;6;Fagus_sylvatica
6.7120083;46.5922895;914.9648148;34;0.0000028;0.0000032;1.3322436;3;Fagus_sylvatica
6.7107847;46.5912354;912.9539683;29;0.0000004;nan;0.0498423;4;Fagus_sylvatica
6.7116282;46.5921954;913.2160920;32;0.0000008;0.0000021;0.1911090;7;Fagus_sylvatica
6.7103275;46.5910693;910.9835821;29;0.0000023;0.0000023;0.2995504;7;Fagus_sylvatica
6.7115132;46.5906178;922.6449153;33;0.0000027;0.0000057;0.5058300;8;Fagus_sylvatica
6.7107643;46.5911742;912.9617647;31;0.0000064;0.0000055;0.2543905;3;Fagus_sylvatica
6.7120534;46.5922930;913.0784314;32;0.0000019;0.0000030;0.5050000;3;Fagus_sylvatica
6.7115467;46.5905164;921.3202381;34;0.0000011;0.0000009;0.0650636;7;Fagus_sylvatica
6.7111507;46.5925778;912.0952941;27;0.0000004;0.0000009;0.0944406;7;Fagus_sylvatica
6.7114801;46.5922623;915.6801802;30;0.0000125;0.0000118;2.6255440;2;Fagus_sylvatica
6.7104154;46.5921527;912.2221311;29;0.0000031;0.0000025;1.0798840;6;Fagus_sylvatica
6.7108949;46.5926390;912.6021739;30;0.0000029;nan;0.6129008;5;Fagus_sylvatica
6.7112082;46.5905197;923.5169231;33;0.0000034;nan;1.0560550;5;Fagus_sylvatica
